Player Name,Photo URL
Lisandro Martínez,https://cdn.sofifa.net/players/239/301/24_120.png
Kim Min Jae,https://cdn.sofifa.net/players/237/086/24_120.png
Federico Chiesa,https://cdn.sofifa.net/players/235/805/24_120.png
Matthijs de Ligt,https://cdn.sofifa.net/players/235/243/24_120.png
Achraf Hakimi,https://cdn.sofifa.net/players/235/212/24_120.png
Aaron Ramsdale,https://cdn.sofifa.net/players/233/934/24_120.png
Raphinha,https://cdn.sofifa.net/players/233/419/24_120.png
Fikayo Tomori,https://cdn.sofifa.net/players/232/756/24_120.png
Gabriel,https://cdn.sofifa.net/players/232/580/24_120.png
Unai Simón,https://cdn.sofifa.net/players/230/869/24_120.png
Palhinha,https://cdn.sofifa.net/players/229/391/24_120.png
Álex Remiro,https://cdn.sofifa.net/players/227/127/24_120.png
Ismaël Bennacer,https://cdn.sofifa.net/players/226/754/24_120.png
Marcos Llorente,https://cdn.sofifa.net/players/226/161/24_120.png
Mikel Merino,https://cdn.sofifa.net/players/225/193/24_120.png
Rúben Neves,https://cdn.sofifa.net/players/224/293/24_120.png
Lucas Hernández,https://cdn.sofifa.net/players/220/814/24_120.png
Rodrigo De Paul,https://cdn.sofifa.net/players/212/616/24_120.png
Julian Brandt,https://cdn.sofifa.net/players/212/194/24_120.png
Adrien Rabiot,https://cdn.sofifa.net/players/210/008/24_120.png
Yannick Carrasco,https://cdn.sofifa.net/players/208/418/24_120.png
Nick Pope,https://cdn.sofifa.net/players/203/841/24_120.png
Morata,https://cdn.sofifa.net/players/201/153/24_120.png
Kalidou Koulibaly,https://cdn.sofifa.net/players/201/024/24_120.png
Granit Xhaka,https://cdn.sofifa.net/players/199/503/24_120.png
Luis Alberto,https://cdn.sofifa.net/players/198/706/24_120.png
Koke,https://cdn.sofifa.net/players/193/747/24_120.png
Iago Aspas,https://cdn.sofifa.net/players/192/629/24_120.png
Romelu Lukaku,https://cdn.sofifa.net/players/192/505/24_120.png
Chris Smalling,https://cdn.sofifa.net/players/189/881/24_120.png
Parejo,https://cdn.sofifa.net/players/189/513/24_120.png
Kyle Walker,https://cdn.sofifa.net/players/188/377/24_120.png
Ángel Di María,https://cdn.sofifa.net/players/183/898/24_120.png
Mats Hummels,https://cdn.sofifa.net/players/178/603/24_120.png
Luis Suárez,https://cdn.sofifa.net/players/176/580/24_120.png
Thiago Silva,https://cdn.sofifa.net/players/164/240/24_120.png
Gavi,https://cdn.sofifa.net/players/264/240/24_120.png
Darwin Núñez,https://cdn.sofifa.net/players/253/072/24_120.png
Sven Botman,https://cdn.sofifa.net/players/251/809/24_120.png
Nico Schlotterbeck,https://cdn.sofifa.net/players/247/819/24_120.png
Viktor Tsygankov,https://cdn.sofifa.net/players/244/369/24_120.png
Dani Olmo,https://cdn.sofifa.net/players/244/260/24_120.png
Loïs Openda,https://cdn.sofifa.net/players/243/580/24_120.png
Moussa Diaby,https://cdn.sofifa.net/players/241/852/24_120.png
Pau Torres,https://cdn.sofifa.net/players/241/464/24_120.png
Ferran Torres,https://cdn.sofifa.net/players/241/461/24_120.png
Alexis Mac Allister,https://cdn.sofifa.net/players/239/837/24_120.png
Reece James,https://cdn.sofifa.net/players/238/074/24_120.png
Randal Kolo Muani,https://cdn.sofifa.net/players/237/679/24_120.png
Diogo Costa,https://cdn.sofifa.net/players/234/577/24_120.png
Alphonso Davies,https://cdn.sofifa.net/players/234/396/24_120.png
Cristian Romero,https://cdn.sofifa.net/players/232/488/24_120.png
Milan Škriniar,https://cdn.sofifa.net/players/232/363/24_120.png
Marcus Rashford,https://cdn.sofifa.net/players/231/677/24_120.png
Donyell Malen,https://cdn.sofifa.net/players/231/447/24_120.png
Gabriel Jesus,https://cdn.sofifa.net/players/230/666/24_120.png
Ronaldo Cabrais,https://cdn.sofifa.net/players/230/481/24_120.png
Oyarzabal,https://cdn.sofifa.net/players/230/142/24_120.png
Gianluca Mancini,https://cdn.sofifa.net/players/229/582/24_120.png
Dayot Upamecano,https://cdn.sofifa.net/players/229/558/24_120.png
Aleix García,https://cdn.sofifa.net/players/228/813/24_120.png
Lorenzo Pellegrini,https://cdn.sofifa.net/players/228/251/24_120.png
Benjamin Pavard,https://cdn.sofifa.net/players/226/851/24_120.png
André Onana,https://cdn.sofifa.net/players/226/753/24_120.png
Federico Dimarco,https://cdn.sofifa.net/players/226/268/24_120.png
Guido Rodríguez,https://cdn.sofifa.net/players/225/659/24_120.png
Konrad Laimer,https://cdn.sofifa.net/players/225/375/24_120.png
Marcos Acuña,https://cdn.sofifa.net/players/224/334/24_120.png
Marco Asensio,https://cdn.sofifa.net/players/220/834/24_120.png
Rafa,https://cdn.sofifa.net/players/216/547/24_120.png
José María Giménez,https://cdn.sofifa.net/players/216/460/24_120.png
Stanislav Lobotka,https://cdn.sofifa.net/players/216/435/24_120.png
Marcelo Brozović,https://cdn.sofifa.net/players/216/352/24_120.png
Andreas Christensen,https://cdn.sofifa.net/players/213/661/24_120.png
Jonathan Tah,https://cdn.sofifa.net/players/213/331/24_120.png
Aymeric Laporte,https://cdn.sofifa.net/players/212/218/24_120.png
Niklas Süle,https://cdn.sofifa.net/players/212/190/24_120.png
Alessio Romagnoli,https://cdn.sofifa.net/players/210/413/24_120.png
Jonas Hofmann,https://cdn.sofifa.net/players/210/324/24_120.png
Fabinho,https://cdn.sofifa.net/players/209/499/24_120.png
Filip Kostić,https://cdn.sofifa.net/players/208/574/24_120.png
Gerard Moreno,https://cdn.sofifa.net/players/208/093/24_120.png
Matthias Ginter,https://cdn.sofifa.net/players/207/862/24_120.png
Serge Gnabry,https://cdn.sofifa.net/players/206/113/24_120.png
Jorginho,https://cdn.sofifa.net/players/205/498/24_120.png
Willi Orban,https://cdn.sofifa.net/players/204/638/24_120.png
Memphis Depay,https://cdn.sofifa.net/players/202/556/24_120.png
Raphaël Varane,https://cdn.sofifa.net/players/201/535/24_120.png
Nacho Fernández,https://cdn.sofifa.net/players/200/724/24_120.png
Francesco Acerbi,https://cdn.sofifa.net/players/199/845/24_120.png
Keylor Navas,https://cdn.sofifa.net/players/193/041/24_120.png
Koen Casteels,https://cdn.sofifa.net/players/192/984/24_120.png
Sergio Busquets,https://cdn.sofifa.net/players/189/511/24_120.png
Jordi Alba,https://cdn.sofifa.net/players/189/332/24_120.png
Kevin Trapp,https://cdn.sofifa.net/players/188/943/24_120.png
Marco Reus,https://cdn.sofifa.net/players/188/350/24_120.png
Edin Džeko,https://cdn.sofifa.net/players/180/930/24_120.png
Olivier Giroud,https://cdn.sofifa.net/players/178/509/24_120.png
Sergio Ramos,https://cdn.sofifa.net/players/155/862/24_120.png
Nico Williams,https://cdn.sofifa.net/players/256/516/24_120.png
Nuno Mendes,https://cdn.sofifa.net/players/252/145/24_120.png
Joško Gvardiol,https://cdn.sofifa.net/players/251/517/24_120.png
Eduardo Camavinga,https://cdn.sofifa.net/players/248/243/24_120.png
Dejan Kulusevski,https://cdn.sofifa.net/players/247/394/24_120.png
Enzo Fernández,https://cdn.sofifa.net/players/247/090/24_120.png
Boulaye Dia,https://cdn.sofifa.net/players/246/242/24_120.png
Xavi Simons,https://cdn.sofifa.net/players/245/367/24_120.png
Sancet,https://cdn.sofifa.net/players/244/675/24_120.png
Pedro Porro,https://cdn.sofifa.net/players/243/576/24_120.png
